Video_Id,Title,Published_date,Views,Likes,Favorite,Comments,Playlist_id,Inserted_date
eATWZqAst2c,தேசிய தினப் பேரணி உரை 2024: வீடமைப்பு சுமைகளை இறக்கும் புதிய திட்டங்கள்,2024-08-18,64,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
dhq0A7zO__o,பெற்றோருக்குக் கூடுதலாக 10 வாரங்கள் விடுப்பு,2024-08-18,17,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
49qbOPyU-iY,"வேலை இழந்தோருக்கு அதிகபட்சம் ஆறு மாதங்களுக்கு $6,000 வரை நிதியுதவி",2024-08-18,28,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
nUGbWsqgpis,Additional help through SkillsFuture,2024-08-18,17,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
NXd-4cRsOxU,தேசிய தினப் பேரணி உரை 2024: உயர் தாய்மொழிப் பாடத்தைப் பயில கூடுதல் வாய்ப்பு,2024-08-18,79,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
w9PGAblBaJ0,தமது முதலாவது தேசிய தினப் பேரணி உரையைத் தொடங்கினார் பிரதமர் லாரன்ஸ் வோங்,2024-08-18,13,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
NZZ3gHPw6gc,தாய்லாந்தின் புதிய பிரதமராக பேடோங்டார்ன் ஷினவாத் தேர்வு,2024-08-16,408,7,0,2.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
_uuvMSKrShc,"ஆகஸ்ட் 16, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-16,47,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
rnz7iqhcej0,வெளிநாட்டு ஊழியர்களுக்‌கான இன நல்லிணக்க தினக் கொண்டாட்டம்,2024-08-16,43,4,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
tlZBmpM_Sgw,"ஆகஸ்ட் 15, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-15,58,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
IEJQV7xPDcE,சாலை விபத்தில் மாண்ட 7 வயது சிறுமி; வேன் ஓட்டுநர் கைது,2024-08-15,142,2,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
rWZdVfcwpIg,"ஆகஸ்ட் 14, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-14,63,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
ib_ZX3y6W7U,ஈசூன் வட்டாரத்தில் தேசிய தினக் கொண்டாட்டம்.,2024-08-13,10,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
fnxU8BLXKro,"ஆகஸ்ட் 13, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-13,91,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
yPPd_MwBOSY,தீக்குழியில் விழுந்த சிறுவன்,2024-08-13,13,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
u9sMGpbVFRA,"சுகாதார விழா 2024: இலவசப் பரிசோதனை, அன்பு கலந்த வழிகாட்டுதல்",2024-08-12,54,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
WuIrUVcpWJQ,"ஆகஸ்ட் 12, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-12,27,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
sXuDUCR8kkY,கடந்த 59 ஆண்டுகள் நிகழ்ந்த கொண்டாட்டங்களில் எடுக்கப்பட்ட புகைப்படங்களின் காணொளித் தொகுப்பு,2024-08-10,10,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
2UN8Z0tzIIo,அணிவகுப்பில் தேசிய கீத அங்கத்தை வழிநடத்திய ஷபீர்; கண்கலங்கிய அதிபர் தர்மன்,2024-08-10,17,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
ePV0jQHwwSo,என்டியுசியின் தேசிய தினக் கொண்டாட்டம்,2024-08-10,18,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
Nn0mRoA5aqI,தேசிய தினம் 2024: பார்வையாளர்களின் கருத்துகளும் முக்கிய காட்சிகளும்,2024-08-09,9,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
I_yox6oUa3o,தேசிய தின அணிவகுப்பு 2024: சிறப்பு அம்சங்கள்,2024-08-09,7,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
OBd695lykhw,என்டியுசியின் தேசிய தினக் கொண்டாட்டத்தில் படைத்த 'ஹிப் ஹாப்' கலை­ஞர் யங் ராஜா,2024-08-09,48,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
-Adf19-cjOE,தேசிய தினம் 2024: வாண வேடிக்கை அங்கம்!,2024-08-09,3,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
5ku5xnlZvn4,வானில் வட்டமடித்து வந்திறங்கிய செஞ்சிங்கங்கள்,2024-08-09,7,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
