Video_Id,Title,Published_date,Views,Likes,Favorite,Comments
GV4u4fDrAwU,Apakah perasaan Jaclyn Victor semasa konsert akhir AS GV?,2023-12-12,197,2,0,0
DO6Zh7UNFYo,"KAKI MAKAN: Kafe kedua Tarik pelanggan nikmati teh, kopi ciptaan sendiri",2023-12-09,43,1,0,0
vGyhWfCe74g,Ketua kesatuan NTUC buat apa...jadi cashier FairPrice ke?,2023-12-08,53,2,0,0
KCOobW9XiAw,66 wanita ikuti kem Perkhidmatan Negara,2023-12-07,66,0,0,0
MZL9OiXyYoU,Kenapa wartawan BH 'masuk longkang' ?,2023-12-06,685,3,0,0
du3OfDGPfQI,Pentas akhir di Axiata Arena milik siapa?,2023-12-02,3394,6,0,1
ECOfTGEcK2U,Kaki Makan: Dapur terbuka Oud buka selera dengan aroma kayu api,2023-12-02,99,3,0,0
LzKdoJhcdUM,Kaki Makan: Yaksok: Pilihan santapan Korea-Jepun di Tanjong Pagar,2023-12-02,70,2,0,0
jOJMGXX0D4Y,"#NOTAPIS: Kenapa Hazrul Nizam & Dina Nadzir ""Berat Hati""?",2023-12-01,193,3,0,0
vYWLI60y0FQ,Pemerintah faham sentimen Melayu/Islam tentang konflik Israel-Palestin: Maliki,2023-11-30,587,21,0,0
W6GLc8MyHl4,"Bukan kerana takut tetapi kepentingan kepada keamanan, adab dan perpaduan sosial: Ahmad Firdaus Daud",2023-11-30,25,0,0,0
rwozz6yN2HA,Idea perbincangan antara agama adalah untuk mewujudkan ikatan kuat: Francois Bretault,2023-11-30,30,0,0,0
gkSl4Awf1a0,“Girl Math” Masuk akal Tak?,2023-11-28,145,1,0,0
Veb5VKptNfw,#NoTapis - Konflik Israel-Palestin: Respons & sentimen masyarakat,2023-11-27,191,2,0,0
e9wTY1GFVeo,‘Kami Okami nak bantu anak muda lain berdaya maju’,2023-11-25,45,1,0,0
RId5nTM0eHw,Kaki Makan: 4 Gerai Nasi Lemak untuk Dicuba,2023-11-25,1242,10,0,0
xKzLoyvjyS4,Kaki Makan: Burger tanduri jadi pilihan pasangan niaga,2023-11-18,87,0,0,0
BoAYIAx122A,Kaki Makan: Gerai wafel dan kopi berkonsep unik,2023-11-18,257,1,0,0
iQBtrWBKlUM,Konflik Israel - Palestin  - Apakah sebenarnya penyelesaian 2 negara?,2023-11-17,87,0,0,0
WbTsTosCDZs,Dua pesilat S’pura rangkul anugerah terbaik,2023-11-17,20,1,0,0
KZPbDRjoZ7c,Maliki puji sikap tenang masyarakat meski terkesan dengan situasi di Gaza,2023-11-17,41,2,0,0
LxgNB8kZFZQ,RSS Endeavor buka pintu sempena Navy@Vivo2023,2023-11-16,49,1,0,0
